semester_id,course_id,title,weekday,start_time,end_time,start_week,end_week,week_type,location,teacher,notes,alarm_minutes
2025-fall,2025f-001,大学计算机基础,2,08:30,09:55,7,18,all,春-五教218,雷立宏,源PDF: 教学信息一体化服务平台；班级: 2501211-14(W)[143...],
2025-fall,2025f-002,微积分Ⅰ,3,08:30,09:55,7,14,all,春-三教(B区)119,王姝娜,源PDF: 教学信息一体化服务平台；班级: 2501211-14(W)[145...],
2025-fall,2025f-003,口语,4,08:30,09:55,7,17,odd,春-五教(B区)307,陈杰慧,源PDF: 教学信息一体化服务平台；班级: 2501212(W)[36人],
2025-fall,2025f-004,线性代数,5,08:30,09:55,8,15,all,春-三教(D区)109,Qi Tao,源PDF: 教学信息一体化服务平台；班级: 2501211-12(W)[71人],
2025-fall,2025f-005,微积分Ⅰ,1,10:10,11:35,7,18,all,春-三教(D区)207,王姝娜,源PDF: 教学信息一体化服务平台；班级: 2501211-14(W)[145人],
2025-fall,2025f-006,大学外语Ⅰ,2,10:10,11:35,7,18,all,春-五教(B区)307,陈杰慧,源PDF: 教学信息一体化服务平台；班级: 2501212(W)[36人],
2025-fall,2025f-007,普通物理Ⅰ力学,3,10:10,11:35,8,15,all,春-三教(A区)348,Tong ZHANG,源PDF: 教学信息一体化服务平台；班级: 2501211-12(W)[72人],
2025-fall,2025f-008,体育,4,10:10,11:35,7,14,all,春明湖校区体育场14,安波,源PDF: 教学信息一体化服务平台；地点原文截断为“春明湖校区体育场1...”；班级: 25级物理434[34人],
2025-fall,2025f-009,普通物理Ⅰ力学,5,10:10,11:35,8,15,all,春-三教(D区)108,Tong ZHANG,源PDF: 教学信息一体化服务平台；班级: 2501211-12(W)[72人],
2025-fall,2025f-010,思想道德与法治,1,13:15,14:40,7,17,all,春-三教(A区)140,曲娇娇,源PDF: 教学信息一体化服务平台；班级: 2501211-14(W)[144人],
2025-fall,2025f-011,线性代数,2,13:15,14:40,8,15,all,春-三教(D区)109,Qi Tao,源PDF: 教学信息一体化服务平台；班级: 2501211-12(W)[71人],
2025-fall,2025f-012,思想道德与法治,3,13:15,14:40,7,16,all,春-三教(B区)119,曲娇娇,源PDF: 教学信息一体化服务平台；班级: 2501211-14(W)[144...],
2025-fall,2025f-013,形势与政策,4,13:15,14:40,7,10,all,春-三教(A区)233,肖建忠,源PDF: 教学信息一体化服务平台；班级: 2501211-14(W)[143...],
2025-fall,2025f-014a,军事理论,5,13:15,14:40,7,10,all,春-五教218,邹娜,源PDF: 教学信息一体化服务平台；班级: 2501211-14(W)[144...],
2025-fall,2025f-014b,军事理论,5,13:15,14:40,12,13,all,春-五教218,邹娜,源PDF: 教学信息一体化服务平台；班级: 2501211-14(W)[144...],
2025-fall,2025f-015,微积分Ⅰ,1,14:55,16:20,7,17,all,春-三教(A区)140,王姝娜,源PDF: 教学信息一体化服务平台；班级: 2501211-14(W)[145人],
